Job_ID,Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type,Error_Rate (%)
JOB_66,2024-01-01 01:05:00,2024-01-01 01:05:00,53.42,1365,1163,7.11,672,IoT,947,330.0,High,Priority-Based,Static,0.1
JOB_67,2024-01-01 01:06:00,2024-01-01 01:06:00,21.27,6749,1809,2.9,953,Cloud,159,23.41,Low,Round Robin,Static,0.31
JOB_68,2024-01-01 01:07:00,2024-01-01 01:07:00,74.18,5704,1334,9.6,445,IoT,4855,799.13,High,FCFS,Dynamic,0.67
JOB_69,2024-01-01 01:08:00,2024-01-01 01:08:00,15.96,4809,401,0.79,763,Cloud,3062,334.66,Low,Round Robin,Static,0.61
JOB_70,2024-01-01 01:09:00,2024-01-01 01:09:00,88.95,7788,1520,9.6,152,Social Media,2968,363.74,Low,Priority-Based,Static,2.27
JOB_71,2024-01-01 01:10:00,2024-01-01 01:10:00,71.78,3703,4728,2.56,832,Enterprise DB,1210,342.65,High,Priority-Based,Dynamic,3.82
JOB_72,2024-01-01 01:11:00,2024-01-01 01:11:00,25.9,3397,868,0.96,308,Social Media,4031,503.75,Low,FCFS,Dynamic,4.81
JOB_73,2024-01-01 01:12:00,2024-01-01 01:12:00,10.44,2744,1504,3.28,571,Social Media,3660,705.47,High,Round Robin,Dynamic,2.09
JOB_74,2024-01-01 01:13:00,2024-01-01 01:13:00,75.24,518,543,7.97,271,Social Media,4794,774.14,Medium,Priority-Based,Static,3.44
JOB_75,2024-01-01 01:14:00,2024-01-01 01:14:00,66.55,1141,3204,7.65,521,Social Media,2053,398.65,Medium,Priority-Based,Dynamic,3.18
JOB_76,2024-01-01 01:15:00,2024-01-01 01:15:00,68.32,3583,4455,2.48,682,Enterprise DB,1577,666.47,High,ASB-Dynamic-CapsNet,Static,1.97
JOB_77,2024-01-01 01:16:00,2024-01-01 01:16:00,71.7,5700,3405,2.37,71,IoT,1963,723.48,High,ASB-Dynamic-CapsNet,Dynamic,3.61
JOB_78,2024-01-01 01:17:00,2024-01-01 01:17:00,15.92,829,1638,6.6,576,Enterprise DB,4391,303.95,Medium,FCFS,Static,2.96
JOB_79,2024-01-01 01:18:00,2024-01-01 01:18:00,38.68,1365,4030,4.85,432,Enterprise DB,3231,105.66,High,ASB-Dynamic-CapsNet,Dynamic,3.8
JOB_80,2024-01-01 01:19:00,2024-01-01 01:19:00,19.27,1273,1431,8.03,405,Enterprise DB,4943,895.72,Medium,Round Robin,Dynamic,0.97
JOB_81,2024-01-01 01:20:00,2024-01-01 01:20:00,79.05,4987,169,0.73,893,Enterprise DB,3396,680.34,Medium,ASB-Dynamic-CapsNet,Static,1.8
JOB_82,2024-01-01 01:21:00,2024-01-01 01:21:00,59.86,5232,3535,6.3,40,IoT,2913,651.63,High,Priority-Based,Dynamic,3.36
JOB_83,2024-01-01 01:22:00,2024-01-01 01:22:00,36.47,2854,580,7.44,339,Social Media,4660,68.31,Low,FCFS,Dynamic,0.62
JOB_84,2024-01-01 01:23:00,2024-01-01 01:23:00,15.08,3838,4194,9.94,958,IoT,555,819.69,High,ASB-Dynamic-CapsNet,Static,3.85
JOB_85,2024-01-01 01:24:00,2024-01-01 01:24:00,34.88,4018,3596,6.95,811,IoT,4300,570.39,Medium,FCFS,Dynamic,0.67
JOB_86,2024-01-01 01:25:00,2024-01-01 01:25:00,36.01,3442,2893,2.7,178,Social Media,2056,849.41,Low,Round Robin,Dynamic,1.62
JOB_87,2024-01-01 01:26:00,2024-01-01 01:26:00,68.37,7295,2992,1.53,275,IoT,4256,974.82,Low,Round Robin,Static,1.19
JOB_88,2024-01-01 01:27:00,2024-01-01 01:27:00,61.0,7484,1298,6.59,317,Enterprise DB,2905,957.53,Medium,ASB-Dynamic-CapsNet,Static,0.3
JOB_89,2024-01-01 01:28:00,2024-01-01 01:28:00,80.98,5621,2472,5.47,468,Enterprise DB,4014,857.53,Low,ASB-Dynamic-CapsNet,Dynamic,1.35
JOB_90,2024-01-01 01:29:00,2024-01-01 01:29:00,47.78,3067,1992,9.04,194,Social Media,1724,20.84,Low,ASB-Dynamic-CapsNet,Dynamic,4.56
JOB_91,2024-01-01 01:30:00,2024-01-01 01:30:00,19.57,2174,1983,7.4,343,Social Media,1240,886.87,High,Priority-Based,Static,0.13
JOB_92,2024-01-01 01:31:00,2024-01-01 01:31:00,67.06,3183,897,5.34,524,Social Media,2442,84.31,Medium,Round Robin,Static,0.08
JOB_93,2024-01-01 01:32:00,2024-01-01 01:32:00,70.86,3880,117,4.33,450,Enterprise DB,1971,852.68,Low,Priority-Based,Dynamic,3.52
JOB_94,2024-01-01 01:33:00,2024-01-01 01:33:00,54.9,1239,143,4.34,682,Social Media,4439,287.37,Medium,ASB-Dynamic-CapsNet,Static,1.83
JOB_95,2024-01-01 01:34:00,2024-01-01 01:34:00,71.68,2045,254,2.65,400,IoT,2742,613.97,High,Round Robin,Dynamic,1.15
JOB_96,2024-01-01 01:35:00,2024-01-01 01:35:00,49.5,5064,3548,0.66,781,IoT,4483,47.69,High,Priority-Based,Dynamic,2.54
JOB_97,2024-01-01 01:36:00,2024-01-01 01:36:00,51.82,2759,4938,5.96,944,Cloud,1877,773.47,High,Priority-Based,Static,1.33
JOB_98,2024-01-01 01:37:00,2024-01-01 01:37:00,44.2,1635,4180,2.52,569,Cloud,2549,120.59,Low,FCFS,Static,1.96
JOB_99,2024-01-01 01:38:00,2024-01-01 01:38:00,12.03,5627,1525,2.48,263,Social Media,766,416.58,High,Priority-Based,Static,3.58
JOB_100,2024-01-01 01:39:00,2024-01-01 01:39:00,18.63,7447,4420,1.69,595,Cloud,680,819.27,Medium,ASB-Dynamic-CapsNet,Static,0.58
JOB_101,2024-01-01 01:40:00,2024-01-01 01:40:00,12.51,7120,4412,2.3,344,Enterprise DB,4910,698.4,High,ASB-Dynamic-CapsNet,Dynamic,4.8
JOB_102,2024-01-01 01:41:00,2024-01-01 01:41:00,60.91,1373,3739,0.8,409,Enterprise DB,134,15.98,Low,Priority-Based,Static,0.21
JOB_103,2024-01-01 01:42:00,2024-01-01 01:42:00,35.15,5055,4226,6.91,175,IoT,3818,409.0,High,FCFS,Dynamic,4.03
JOB_104,2024-01-01 01:43:00,2024-01-01 01:43:00,50.69,2800,1992,4.31,269,IoT,786,51.51,Low,FCFS,Dynamic,3.62
JOB_105,2024-01-01 01:44:00,2024-01-01 01:44:00,82.61,6145,997,5.83,13,Cloud,2757,676.76,Medium,FCFS,Dynamic,1.41
JOB_106,2024-01-01 01:45:00,2024-01-01 01:45:00,29.94,1251,3524,6.55,897,Cloud,276,969.26,High,Priority-Based,Dynamic,0.59
JOB_107,2024-01-01 01:46:00,2024-01-01 01:46:00,42.83,6057,4640,9.74,128,Enterprise DB,3407,658.71,High,Priority-Based,Dynamic,4.26
JOB_108,2024-01-01 01:47:00,2024-01-01 01:47:00,70.44,6373,1358,1.15,932,IoT,1357,232.13,Medium,FCFS,Static,3.4
JOB_109,2024-01-01 01:48:00,2024-01-01 01:48:00,28.3,7624,2115,4.47,479,Cloud,4254,361.68,Medium,Priority-Based,Static,1.45
JOB_110,2024-01-01 01:49:00,2024-01-01 01:49:00,16.16,1353,4933,2.84,479,Enterprise DB,4280,976.88,Low,Round Robin,Dynamic,0.08
JOB_111,2024-01-01 01:50:00,2024-01-01 01:50:00,33.18,4232,1802,5.03,794,IoT,4436,231.81,High,ASB-Dynamic-CapsNet,Static,4.69
JOB_112,2024-01-01 01:51:00,2024-01-01 01:51:00,22.9,2783,973,9.24,502,Enterprise DB,4008,565.91,High,Priority-Based,Static,2.02
JOB_113,2024-01-01 01:52:00,2024-01-01 01:52:00,84.38,1829,665,7.38,747,Enterprise DB,1702,406.45,High,Round Robin,Dynamic,0.88
JOB_114,2024-01-01 01:53:00,2024-01-01 01:53:00,74.65,977,2118,6.79,873,IoT,1917,770.63,High,Priority-Based,Dynamic,4.56
JOB_115,2024-01-01 01:54:00,2024-01-01 01:54:00,60.67,3226,1985,4.69,509,Enterprise DB,76,868.72,Medium,Round Robin,Static,1.8
JOB_116,2024-01-01 01:55:00,2024-01-01 01:55:00,79.72,3591,2223,6.88,79,Cloud,4699,347.43,High,FCFS,Dynamic,2.32
JOB_117,2024-01-01 01:56:00,2024-01-01 01:56:00,74.29,6859,4742,0.81,703,Enterprise DB,982,663.79,High,ASB-Dynamic-CapsNet,Static,3.49
JOB_118,2024-01-01 01:57:00,2024-01-01 01:57:00,24.93,7498,2414,6.07,874,Cloud,3508,553.56,High,Priority-Based,Static,4.1
JOB_119,2024-01-01 01:58:00,2024-01-01 01:58:00,81.4,4730,4512,5.76,785,Social Media,516,285.66,Low,Round Robin,Dynamic,0.5
JOB_120,2024-01-01 01:59:00,2024-01-01 01:59:00,53.15,7548,3983,3.79,379,Social Media,2750,279.22,Low,Round Robin,Static,4.49
JOB_121,2024-01-01 02:00:00,2024-01-01 02:00:00,74.6,5748,3292,2.41,190,Social Media,1548,543.25,Low,FCFS,Static,4.66
JOB_122,2024-01-01 02:01:00,2024-01-01 02:01:00,81.69,5005,1959,8.17,14,Enterprise DB,667,162.46,Medium,ASB-Dynamic-CapsNet,Dynamic,1.3
JOB_123,2024-01-01 02:02:00,2024-01-01 02:02:00,35.44,6041,124,1.01,206,Social Media,3827,812.7,Medium,ASB-Dynamic-CapsNet,Dynamic,2.49
JOB_124,2024-01-01 02:03:00,2024-01-01 02:03:00,18.8,5913,3603,1.16,56,Social Media,4603,78.31,Medium,ASB-Dynamic-CapsNet,Static,4.29
JOB_125,2024-01-01 02:04:00,2024-01-01 02:04:00,28.23,1769,4355,4.68,979,Enterprise DB,2737,103.63,High,Round Robin,Dynamic,2.44
JOB_126,2024-01-01 02:05:00,2024-01-01 02:05:00,44.17,6175,1237,2.9,561,IoT,1554,348.8,High,Priority-Based,Static,2.41
JOB_127,2024-01-01 02:06:00,2024-01-01 02:06:00,75.44,4681,1289,7.58,643,Enterprise DB,4017,126.91,Medium,Priority-Based,Dynamic,3.09
JOB_128,2024-01-01 02:07:00,2024-01-01 02:07:00,78.86,3103,4898,6.52,656,Cloud,229,480.94,Low,FCFS,Dynamic,3.84
JOB_129,2024-01-01 02:08:00,2024-01-01 02:08:00,10.56,6461,4196,7.84,149,Enterprise DB,2635,405.68,High,ASB-Dynamic-CapsNet,Static,3.33
JOB_130,2024-01-01 02:09:00,2024-01-01 02:09:00,50.86,1969,3257,3.58,871,IoT,2119,724.59,Low,Priority-Based,Static,3.13
JOB_131,2024-01-01 02:10:00,2024-01-01 02:10:00,43.39,877,2467,7.53,674,Social Media,4908,953.47,High,Round Robin,Static,1.86
JOB_132,2024-01-01 02:11:00,2024-01-01 02:11:00,27.77,2180,4577,8.69,549,Enterprise DB,971,756.02,High,Round Robin,Dynamic,3.15
JOB_133,2024-01-01 02:12:00,2024-01-01 02:12:00,19.59,5670,1841,3.78,436,Social Media,3142,187.65,Low,ASB-Dynamic-CapsNet,Static,0.52
JOB_134,2024-01-01 02:13:00,2024-01-01 02:13:00,37.01,741,3788,3.73,598,Cloud,4890,936.17,Medium,FCFS,Dynamic,2.05
JOB_135,2024-01-01 02:14:00,2024-01-01 02:14:00,85.43,7961,3846,9.05,696,IoT,1560,398.21,Low,FCFS,Dynamic,0.94
JOB_136,2024-01-01 02:15:00,2024-01-01 02:15:00,35.86,1419,997,0.97,570,Social Media,3649,479.45,Medium,ASB-Dynamic-CapsNet,Static,2.69
JOB_137,2024-01-01 02:16:00,2024-01-01 02:16:00,51.5,6182,4123,3.83,863,Social Media,3326,427.36,Medium,Round Robin,Static,1.31
JOB_138,2024-01-01 02:17:00,2024-01-01 02:17:00,66.24,6909,816,1.63,319,Social Media,2769,287.74,High,FCFS,Dynamic,2.53
JOB_139,2024-01-01 02:18:00,2024-01-01 02:18:00,39.09,7787,4067,0.78,283,Social Media,4782,896.09,High,Round Robin,Static,3.89
JOB_140,2024-01-01 02:19:00,2024-01-01 02:19:00,87.74,7355,4121,1.57,548,Enterprise DB,1073,338.92,High,Round Robin,Dynamic,2.17
JOB_141,2024-01-01 02:20:00,2024-01-01 02:20:00,87.0,5867,3315,4.6,849,IoT,201,582.81,Medium,Priority-Based,Dynamic,1.09
JOB_142,2024-01-01 02:21:00,2024-01-01 02:21:00,30.14,569,490,7.03,399,IoT,62,247.63,Medium,FCFS,Dynamic,1.11
JOB_143,2024-01-01 02:22:00,2024-01-01 02:22:00,49.78,4424,3984,3.25,468,Social Media,764,799.4,Low,Round Robin,Static,4.53
JOB_144,2024-01-01 02:23:00,2024-01-01 02:23:00,34.07,6700,1799,8.57,742,IoT,3200,776.46,High,Priority-Based,Dynamic,3.9
JOB_145,2024-01-01 02:24:00,2024-01-01 02:24:00,32.79,6001,3137,4.66,643,Social Media,3675,303.35,High,Round Robin,Dynamic,0.18
JOB_146,2024-01-01 02:25:00,2024-01-01 02:25:00,12.95,2586,332,9.7,370,Cloud,298,684.74,Medium,ASB-Dynamic-CapsNet,Static,4.71
JOB_147,2024-01-01 02:26:00,2024-01-01 02:26:00,58.77,2507,2026,9.56,78,Cloud,1194,706.83,High,FCFS,Static,0.56
JOB_148,2024-01-01 02:27:00,2024-01-01 02:27:00,50.21,1300,3231,7.85,592,Cloud,4532,566.89,Medium,Round Robin,Static,3.26
JOB_149,2024-01-01 02:28:00,2024-01-01 02:28:00,14.12,5637,3406,9.36,671,IoT,4584,604.59,Low,FCFS,Dynamic,2.76
JOB_150,2024-01-01 02:29:00,2024-01-01 02:29:00,32.29,3279,2824,7.22,708,Social Media,3393,578.71,Low,Priority-Based,Static,0.23
JOB_151,2024-01-01 02:30:00,2024-01-01 02:30:00,82.66,5420,4901,9.01,440,Enterprise DB,770,91.05,High,FCFS,Dynamic,1.48
JOB_152,2024-01-01 02:31:00,2024-01-01 02:31:00,29.16,1255,333,2.75,894,Enterprise DB,4618,673.56,Low,Round Robin,Dynamic,3.88
JOB_153,2024-01-01 02:32:00,2024-01-01 02:32:00,21.59,6995,1491,3.78,767,Cloud,3279,475.08,High,FCFS,Dynamic,1.53
JOB_154,2024-01-01 02:33:00,2024-01-01 02:33:00,49.16,2495,2992,7.65,717,Cloud,1056,444.07,High,ASB-Dynamic-CapsNet,Static,2.4
JOB_155,2024-01-01 02:34:00,2024-01-01 02:34:00,88.85,6435,1355,4.53,41,IoT,4778,861.4,Medium,ASB-Dynamic-CapsNet,Dynamic,3.49
JOB_156,2024-01-01 02:35:00,2024-01-01 02:35:00,29.36,1821,2638,8.45,988,Enterprise DB,3348,32.99,Medium,Priority-Based,Dynamic,0.36
JOB_157,2024-01-01 02:36:00,2024-01-01 02:36:00,63.77,2830,3790,8.84,630,IoT,2518,258.8,High,Round Robin,Static,4.16
JOB_158,2024-01-01 02:37:00,2024-01-01 02:37:00,70.93,6205,989,3.35,874,Cloud,4169,130.19,Low,FCFS,Dynamic,0.21
JOB_159,2024-01-01 02:38:00,2024-01-01 02:38:00,29.01,609,4787,8.32,522,Social Media,3863,44.99,Low,Priority-Based,Static,1.31
JOB_160,2024-01-01 02:39:00,2024-01-01 02:39:00,68.26,1516,845,1.97,191,Social Media,587,282.92,High,Priority-Based,Static,3.82
JOB_161,2024-01-01 02:40:00,2024-01-01 02:40:00,39.42,7847,1819,3.67,695,Social Media,2874,988.59,High,Round Robin,Static,4.56
JOB_162,2024-01-01 02:41:00,2024-01-01 02:41:00,60.58,6557,527,5.42,690,Cloud,2735,277.53,Low,FCFS,Static,3.8
JOB_163,2024-01-01 02:42:00,2024-01-01 02:42:00,60.68,7187,831,2.65,257,IoT,2030,667.07,Low,Priority-Based,Dynamic,1.13
JOB_164,2024-01-01 02:43:00,2024-01-01 02:43:00,52.86,6365,899,6.0,629,Social Media,589,127.12,Medium,Priority-Based,Dynamic,4.93
JOB_165,2024-01-01 02:44:00,2024-01-01 02:44:00,17.22,4365,4397,6.0,891,Enterprise DB,3934,605.83,Medium,Round Robin,Dynamic,2.07
JOB_166,2024-01-01 02:45:00,2024-01-01 02:45:00,76.82,524,935,2.47,306,Enterprise DB,4103,984.64,Low,Round Robin,Dynamic,1.88
JOB_167,2024-01-01 02:46:00,2024-01-01 02:46:00,35.66,5438,234,8.06,785,Cloud,3249,298.92,Medium,Priority-Based,Static,4.33
JOB_168,2024-01-01 02:47:00,2024-01-01 02:47:00,24.92,3338,2638,6.5,937,Enterprise DB,4566,849.59,Medium,FCFS,Dynamic,0.33
JOB_169,2024-01-01 02:48:00,2024-01-01 02:48:00,13.26,1237,3818,3.52,39,Enterprise DB,533,997.6,High,Priority-Based,Static,2.78
JOB_170,2024-01-01 02:49:00,2024-01-01 02:49:00,57.27,6700,140,2.71,311,Cloud,1078,592.67,Medium,ASB-Dynamic-CapsNet,Dynamic,4.83
JOB_171,2024-01-01 02:50:00,2024-01-01 02:50:00,64.21,679,3467,8.85,485,IoT,101,316.31,Medium,Round Robin,Dynamic,0.5
